Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q06828,FMOD_HUMAN,Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin),376,"43,179",5 out of 5,1994-06-01,Evidence at protein level
F2Z333,FND10_HUMAN,Fibronectin type III domain-containing protein 10,226,"24,218",2 out of 5,2012-03-21,Inferred from homology
P14207,FOLR2_HUMAN,"Folate receptor beta (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP)",255,"29,280",5 out of 5,1990-01-01,Evidence at protein level
P15407,FOSL1_HUMAN,Fos-related antigen 1 (FRA-1),271,"29,413",5 out of 5,1990-04-01,Evidence at protein level
Q12951,FOXI1_HUMAN,Forkhead box protein I1 (Forkhead-related protein FKHL10) (Forkhead-related transcription factor 6) (FREAC-6) (Hepatocyte nuclear factor 3 forkhead homolog 3) (HFH-3) (HNF-3/fork-head homolog 3),378,"40,973",5 out of 5,1997-11-01,Evidence at protein level
A8MTJ6,FOXI3_HUMAN,Forkhead box protein I3,420,"43,326",2 out of 5,2008-06-10,Evidence at transcript level
Q92949,FOXJ1_HUMAN,Forkhead box protein J1 (Forkhead-related protein FKHL13) (Hepatocyte nuclear factor 3 forkhead homolog 4) (HFH-4),421,"45,247",5 out of 5,1997-11-01,Evidence at protein level
Q96NZ1,FOXN4_HUMAN,Forkhead box protein N4,517,"55,215",4 out of 5,2003-01-27,Evidence at protein level
Q12778,FOXO1_HUMAN,Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma),655,"69,662",5 out of 5,1997-11-01,Evidence at protein level
Q92837,FRAT1_HUMAN,Proto-oncogene FRAT1 (Frequently rearranged in advanced T-cell lymphomas 1) (FRAT-1),279,"29,093",4 out of 5,1998-07-15,Evidence at protein level
Q6P4F1,FUT10_HUMAN,"Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)",479,"56,094",5 out of 5,2007-08-21,Evidence at transcript level
Q11130,FUT7_HUMAN,"Alpha-(1,3)-fucosyltransferase 7 (EC 2.4.1.-) (Fucosyltransferase 7) (Fucosyltransferase VII) (Fuc-TVII) (FucT-VII) (Galactoside 3-L-fucosyltransferase) (Selectin ligand synthase)",342,"39,239",5 out of 5,1996-10-01,Evidence at protein level
Q9Y231,FUT9_HUMAN,"Alpha-(1,3)-fucosyltransferase 9 (EC 2.4.1.-) (Fucosyltransferase 9) (Fucosyltransferase IX) (Fuc-TIX) (FucT-IX) (Galactoside 3-L-fucosyltransferase)",359,"42,071",5 out of 5,2004-11-09,Evidence at transcript level
O43826,G6PT1_HUMAN,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),429,"46,360",5 out of 5,1998-12-15,Evidence at protein level
Q86XJ1,GA2L3_HUMAN,GAS2-like protein 3 (Growth arrest-specific protein 2-like 3),694,"75,214",5 out of 5,2005-08-30,Evidence at protein level
P24522,GA45A_HUMAN,Growth arrest and DNA damage-inducible protein GADD45 alpha (DNA damage-inducible transcript 1 protein) (DDIT-1),165,"18,336",5 out of 5,1992-03-01,Evidence at protein level
Q06547,GABP1_HUMAN,GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2) (Nuclear respiratory factor 2) (Transcription factor E4TF1-47) (Transcription factor E4TF1-53),395,"42,483",5 out of 5,1995-11-01,Evidence at protein level
Q6NT46,GAG2A_HUMAN,G antigen 2A (GAGE-2A),116,"12,785",2 out of 5,2010-07-13,Evidence at protein level
Q8N4A0,GALT4_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4),578,"66,666",5 out of 5,2004-08-16,Evidence at protein level
Q8NCL4,GALT6_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6),622,"71,159",5 out of 5,2004-08-16,Evidence at transcript level
Q14697,GANAB_HUMAN,Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha),944,"106,874",5 out of 5,2004-07-05,Evidence at protein level
O76093,FGF18_HUMAN,Fibroblast growth factor 18 (FGF-18) (zFGF5),207,"23,989",5 out of 5,1999-07-15,Evidence at protein level
P05230,FGF1_HUMAN,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1),155,"17,460",5 out of 5,1987-08-13,Evidence at protein level
P08620,FGF4_HUMAN,Fibroblast growth factor 4 (FGF-4) (Heparin secretory-transforming protein 1) (HST) (HST-1) (HSTF-1) (Heparin-binding growth factor 4) (HBGF-4) (Transforming protein KS3),206,"22,048",5 out of 5,1988-08-01,Evidence at protein level
P10767,FGF6_HUMAN,Fibroblast growth factor 6 (FGF-6) (Heparin secretory-transforming protein 2) (HST-2) (HSTF-2) (Heparin-binding growth factor 6) (HBGF-6),208,"22,905",5 out of 5,1989-07-01,Evidence at protein level
Q14512,FGFP1_HUMAN,Fibroblast growth factor-binding protein 1 (FGF-BP) (FGF-BP1) (FGF-binding protein 1) (FGFBP-1) (17 kDa heparin-binding growth factor-binding protein) (17 kDa HBGF-binding protein) (HBp17),234,"26,264",5 out of 5,2006-07-11,Evidence at protein level
P11362,FGFR1_HUMAN,Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331),822,"91,868",5 out of 5,1989-07-01,Evidence at protein level
P21802,FGFR2_HUMAN,Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332),821,"92,025",5 out of 5,1991-05-01,Evidence at protein level
P22455,FGFR4_HUMAN,Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334),802,"87,954",5 out of 5,1991-08-01,Evidence at protein level
Q14192,FHL2_HUMAN,Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3),279,"32,193",5 out of 5,1997-11-01,Evidence at protein level
Q2V2M9,FHOD3_HUMAN,FH1/FH2 domain-containing protein 3 (Formactin-2) (Formin homolog overexpressed in spleen 2) (hFHOS2),1422,"158,613",5 out of 5,2007-04-17,Evidence at protein level
P36980,FHR2_HUMAN,Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2),270,"30,651",5 out of 5,1994-06-01,Evidence at protein level
Q92562,FIG4_HUMAN,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3)",907,"103,635",5 out of 5,1997-11-01,Evidence at protein level
P26885,FKBP2_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase),142,"15,649",5 out of 5,1992-08-01,Evidence at protein level
Q9BVV2,FND11_HUMAN,Fibronectin type III domain-containing protein 11,318,"36,526",4 out of 5,2006-04-18,Evidence at protein level
Q12950,FOXD4_HUMAN,Forkhead box protein D4 (Forkhead-related protein FKHL9) (Forkhead-related transcription factor 5) (FREAC-5) (Myeloid factor-alpha),439,"47,309",3 out of 5,1997-11-01,Evidence at transcript level
Q0VG06,FP100_HUMAN,Fanconi anemia core complex-associated protein 100 (Fanconi anemia-associated protein of 100 kDa),881,"93,433",5 out of 5,2007-05-29,Evidence at protein level
A0AVI2,FR1L5_HUMAN,Fer-1-like protein 5,2093,"241,963",3 out of 5,2007-09-11,Evidence at transcript level
Q9BWH2,FUND2_HUMAN,FUN14 domain-containing protein 2 (Cervical cancer proto-oncogene 3 protein) (HCC-3) (Hepatitis C virus core-binding protein 6),189,"20,676",3 out of 5,2008-01-15,Evidence at protein level
P51993,FUT6_HUMAN,"Alpha-(1,3)-fucosyltransferase 6 (EC 2.4.1.65) (Fucosyltransferase 6) (Fucosyltransferase VI) (Fuc-TVI) (FucT-VI) (Galactoside 3-L-fucosyltransferase)",359,"41,860",5 out of 5,1996-10-01,Evidence at protein level
Q9BYC5,FUT8_HUMAN,"Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)",575,"66,516",5 out of 5,2002-03-05,Evidence at protein level
Q9UF56,FXL17_HUMAN,F-box/LRR-repeat protein 17 (F-box and leucine-rich repeat protein 17) (F-box only protein 13),701,"75,695",3 out of 5,2004-03-01,Evidence at transcript level
Q9UKT6,FXL21_HUMAN,F-box/LRR-repeat protein 21 (F-box and leucine-rich repeat protein 21) (F-box and leucine-rich repeat protein 3B) (F-box/LRR-repeat protein 3B),434,"49,152",4 out of 5,2003-10-03,Evidence at protein level
Q96CU9,FXRD1_HUMAN,FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-),486,"53,812",5 out of 5,2007-01-23,Evidence at protein level
Q9BQS8,FYCO1_HUMAN,FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7),1478,"166,983",5 out of 5,2006-07-11,Evidence at protein level
Q8TED4,G6PT3_HUMAN,Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2),501,"54,436",5 out of 5,2007-10-23,Evidence at transcript level
Q9UBS5,GABR1_HUMAN,Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1),961,"108,320",5 out of 5,2001-01-11,Evidence at protein level
O75899,GABR2_HUMAN,Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20),941,"105,821",5 out of 5,2001-01-11,Evidence at protein level
Q13067,GAGE3_HUMAN,G antigen 3 (GAGE-3) (Cancer/testis antigen 4.3) (CT4.3),118,"12,937",2 out of 5,1998-07-15,Evidence at protein level
Q13069,GAGE5_HUMAN,G antigen 5 (GAGE-5) (Cancer/testis antigen 4.5) (CT4.5),117,"12,924",2 out of 5,1998-07-15,Evidence at protein level
P62683,GAK21_HUMAN,Endogenous retrovirus group K member 21 Gag polyprotein (HERV-K_12q14.1 provirus ancestral Gag polyprotein) (Gag polyprotein),666,"74,000",3 out of 5,2004-07-19,Evidence at protein level
P22466,GALA_HUMAN,Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide (GMAP)],123,"13,302",5 out of 5,1991-08-01,Evidence at protein level
P54803,GALC_HUMAN,Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase),685,"77,063",5 out of 5,1996-10-01,Evidence at protein level
P51570,GALK1_HUMAN,Galactokinase (EC 2.7.1.6) (Galactose kinase),392,"42,272",5 out of 5,1996-10-01,Evidence at protein level
O60755,GALR3_HUMAN,Galanin receptor type 3 (GAL3-R) (GALR-3),368,"39,573",5 out of 5,1999-07-15,Evidence at protein level
P07902,GALT_HUMAN,Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase),379,"43,363",5 out of 5,1988-08-01,Evidence at protein level
P01350,GAST_HUMAN,Gastrin [Cleaved into: Gastrin-71 (Gastrin component I); Gastrin-52 (G52); Big gastrin (Gastrin component II) (Gastrin-34) (G34); Gastrin (Gastrin component III) (Gastrin-17) (G17); Gastrin-14 (G14); Gastrin-6 (G6)],101,"11,394",5 out of 5,1986-07-21,Evidence at protein level
Q96DP5,FMT_HUMAN,"Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)",389,"43,832",4 out of 5,2003-01-27,Evidence at protein level
P41439,FOLR3_HUMAN,Folate receptor gamma (FR-gamma) (Folate receptor 3),243,"27,638",5 out of 5,1995-11-01,Evidence at protein level
E5RQL4,FONG_HUMAN,Formiminotransferase N-terminal subdomain-containing protein (Formiminotransferase-cyclodeaminase N-terminal-like protein),147,"16,268",2 out of 5,2011-12-14,Evidence at transcript level
P58012,FOXL2_HUMAN,Forkhead box protein L2,376,"38,772",5 out of 5,2001-04-27,Evidence at protein level
Q9H334,FOXP1_HUMAN,Forkhead box protein P1 (Mac-1-regulated forkhead) (MFH),677,"75,317",5 out of 5,2001-06-20,Evidence at protein level
Q8IVH2,FOXP4_HUMAN,Forkhead box protein P4 (Fork head-related protein-like A),680,"73,488",4 out of 5,2004-04-13,Evidence at protein level
Q86XX4,FRAS1_HUMAN,Extracellular matrix protein FRAS1,4008,"443,214",5 out of 5,2004-08-16,Evidence at protein level
O75474,FRAT2_HUMAN,GSK-3-binding protein FRAT2 (Frequently rearranged in advanced T-cell lymphomas 2) (FRAT-2),233,"24,051",3 out of 5,2000-05-30,Evidence at transcript level
Q16595,FRDA_HUMAN,"Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]",210,"23,135",5 out of 5,1999-07-15,Evidence at protein level
P0C091,FREM3_HUMAN,FRAS1-related extracellular matrix protein 3,2139,"238,179",3 out of 5,2005-08-16,Inferred from homology
Q5SYB0,FRPD1_HUMAN,FERM and PDZ domain-containing protein 1 (FERM domain-containing protein 2),1578,"173,437",5 out of 5,2007-10-02,Evidence at protein level
O94915,FRYL_HUMAN,Protein furry homolog-like (ALL1-fused gene from chromosome 4p12 protein),3013,"339,598",5 out of 5,2007-02-06,Evidence at protein level
O14926,FSCN2_HUMAN,Fascin-2 (Retinal fascin),492,"55,057",5 out of 5,2001-09-26,Evidence at protein level
Q9BTV5,FSD1_HUMAN,Fibronectin type III and SPRY domain-containing protein 1 (MID1-related protein 1) (Microtubule-associated protein GLFND),496,"55,820",5 out of 5,2008-02-05,Evidence at protein level
Q6VB84,FX4L3_HUMAN,Forkhead box protein D4-like 3 (FOXD4-like 3),417,"45,820",2 out of 5,2007-09-11,Evidence at transcript level
P51114,FXR1_HUMAN,Fragile X mental retardation syndrome-related protein 1 (hFXR1p),621,"69,721",5 out of 5,1996-10-01,Evidence at protein level
Q8NGA4,G32P1_HUMAN,Putative G-protein coupled receptor GPR32P1 (G-protein coupled 32 pseudogene) (G-protein coupled 32 pseudogene 1) (G-protein coupled receptor GPCR39) (hGPCR39),272,"30,291",4 out of 5,2008-09-02,Uncertain
Q13283,G3BP1_HUMAN,Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1),466,"52,164",5 out of 5,2001-07-11,Evidence at protein level
Q99999,G3ST1_HUMAN,Galactosylceramide sulfotransferase (GalCer sulfotransferase) (EC 2.8.2.11) (3'-phosphoadenosine-5'-phosphosulfate:GalCer sulfotransferase) (3'-phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (Cerebroside sulfotransferase),423,"48,764",5 out of 5,2002-07-26,Evidence at protein level
Q96A11,G3ST3_HUMAN,"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal3ST3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)",431,"48,956",5 out of 5,2004-05-10,Evidence at protein level
O95866,G6B_HUMAN,Protein G6b,241,"26,163",5 out of 5,2005-06-21,Evidence at protein level
O95257,GA45G_HUMAN,Growth arrest and DNA damage-inducible protein GADD45 gamma (Cytokine-responsive protein CR6) (DNA damage-inducible transcript 2 protein) (DDIT-2),159,"17,121",5 out of 5,2000-05-30,Evidence at protein level
Q9UQC2,GAB2_HUMAN,GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100),676,"74,458",5 out of 5,2004-04-13,Evidence at protein level
A6NGK3,GAG10_HUMAN,G antigen 10 (GAGE-10),116,"12,651",2 out of 5,2008-05-20,Evidence at protein level
P01358,GAJU_HUMAN,Gastric juice peptide 1 [Cleaved into: Gastric juice peptide 2],10,"1,004",1 out of 5,1986-07-21,Evidence at protein level
Q9YNA8,GAK19_HUMAN,Endogenous retrovirus group K member 19 Gag polyprotein (HERV-K(C19) Gag protein) (HERV-K_19q11 provirus ancestral Gag polyprotein) (Gag polyprotein),666,"74,183",4 out of 5,2004-07-19,Evidence at protein level
P63130,GAK7_HUMAN,Endogenous retrovirus group K member 7 Gag polyprotein (HERV-K(III) Gag protein) (HERV-K102 Gag protein) (HERV-K_1q22 provirus ancestral Gag polyprotein) (Gag polyprotein),666,"74,111",4 out of 5,2004-09-13,Inferred from homology
Q15007,FL2D_HUMAN,Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (hFL(2)D) (WT1-associated protein) (Wilms tumor 1-associating protein),396,"44,244",5 out of 5,1998-07-15,Evidence at protein level
Q9NZU1,FLRT1_HUMAN,Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin-like domain-containing leucine-rich transmembrane protein 1),646,"71,358",5 out of 5,2002-03-27,Evidence at protein level
Q53EP0,FND3B_HUMAN,Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37),1204,"132,888",5 out of 5,2007-05-01,Evidence at protein level
Q9H6D8,FNDC4_HUMAN,Fibronectin type III domain-containing protein 4 (Fibronectin type III repeat-containing protein 1),234,"25,159",2 out of 5,2007-01-09,Evidence at transcript level
Q9P278,FNIP2_HUMAN,Folliculin-interacting protein 2 (FNIP1-like protein) (O6-methylguanine-induced apoptosis 1 protein),1114,"122,115",5 out of 5,2008-02-26,Evidence at protein level
P55318,FOXA3_HUMAN,Hepatocyte nuclear factor 3-gamma (HNF-3-gamma) (HNF-3G) (Fork head-related protein FKH H3) (Forkhead box protein A3) (Transcription factor 3G) (TCF-3G),350,"37,140",5 out of 5,1996-10-01,Evidence at protein level
Q9Y261,FOXA2_HUMAN,Hepatocyte nuclear factor 3-beta (HNF-3-beta) (HNF-3B) (Forkhead box protein A2) (Transcription factor 3B) (TCF-3B),457,"48,306",5 out of 5,2000-05-30,Evidence at protein level
Q12948,FOXC1_HUMAN,Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead-related transcription factor 3) (FREAC-3),553,"56,789",5 out of 5,1997-11-01,Evidence at protein level
Q13461,FOXE3_HUMAN,Forkhead box protein E3 (Forkhead-related protein FKHL12) (Forkhead-related transcription factor 8) (FREAC-8),319,"33,234",5 out of 5,1997-11-01,Evidence at protein level
O00409,FOXN3_HUMAN,Forkhead box protein N3 (Checkpoint suppressor 1),490,"53,835",5 out of 5,2000-05-30,Evidence at protein level
P14324,FPPS_HUMAN,"Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)",419,"48,275",5 out of 5,1990-01-01,Evidence at protein level
Q2WGJ9,FR1L6_HUMAN,Fer-1-like protein 6,1857,"209,308",2 out of 5,2008-03-18,Evidence at transcript level
O95684,FR1OP_HUMAN,FGFR1 oncogene partner,399,"43,065",5 out of 5,2006-05-02,Evidence at protein level
Q96QU4,FRG2B_HUMAN,Protein FRG2-like-1 (FSHD region gene 2 protein family member B) (HSA10-FRG2),278,"30,564",2 out of 5,2007-09-11,Evidence at transcript level
Q96NE9,FRMD6_HUMAN,FERM domain-containing protein 6 (Willin),622,"72,044",5 out of 5,2003-08-15,Evidence at protein level
Q6ZNA5,FRRS1_HUMAN,Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2),592,"66,114",3 out of 5,2008-01-15,Evidence at transcript level
Q96AE4,FUBP1_HUMAN,Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V),644,"67,560",5 out of 5,2003-09-26,Evidence at protein level
Q92945,FUBP2_HUMAN,Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75),711,"73,115",5 out of 5,2003-09-26,Evidence at protein level
Q8WXT5,FX4L4_HUMAN,Forkhead box protein D4-like 4 (FOXD4-like 4) (Forkhead box protein D4-like 2) (Forkhead box protein D4B) (Myeloid factor-gamma),416,"45,892",2 out of 5,2003-01-27,Evidence at transcript level
Q8N461,FXL16_HUMAN,F-box/LRR-repeat protein 16 (F-box and leucine-rich repeat protein 16),479,"51,658",4 out of 5,2004-07-19,Evidence at transcript level
Q6PCT2,FXL19_HUMAN,F-box/LRR-repeat protein 19 (F-box and leucine-rich repeat protein 19),694,"75,707",4 out of 5,2005-03-15,Evidence at protein level
O15117,FYB_HUMAN,FYN-binding protein (Adhesion and degranulation promoting adaptor protein) (ADAP) (FYB-120/130) (p120/p130) (FYN-T-binding protein) (SLAP-130) (SLP-76-associated phosphoprotein),783,"85,387",5 out of 5,1999-07-15,Evidence at protein level
Q9ULW2,FZD10_HUMAN,Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350),581,"65,336",5 out of 5,2001-12-05,Evidence at protein level
Q9UP38,FZD1_HUMAN,Frizzled-1 (Fz-1) (hFz1) (FzE1),647,"71,158",5 out of 5,2001-12-05,Evidence at protein level
